category,discounted_price,original_price,rating,discount_pct,price_ending,pricing_type,units_sold
"Sports, Books and More",1615.0,4000.0,4.4,59.62499999999999,15.0,Other,315
"Sports, Books and More",152.0,600.0,4.4,74.66666666666667,52.0,Other,175
"Sports, Books and More",59.0,199.0,3.7,70.35175879396985,59.0,Other,65
"Sports, Books and More",75.0,299.0,3.8,74.91638795986621,75.0,Other,370
"Sports, Books and More",329.0,1399.0,3.4,76.4832022873481,29.0,Other,419
"Sports, Books and More",75.0,299.0,3.8,74.91638795986621,75.0,Other,173
"Sports, Books and More",329.0,2295.0,3.5,85.66448801742919,29.0,Other,206
"Sports, Books and More",369.0,396.0,4.1,6.8181818181818175,69.0,Other,271
"Sports, Books and More",249.0,1099.0,4.0,77.34303912647862,49.0,Other,463
"Sports, Books and More",249.0,,3.9,,49.0,Other,419
"Sports, Books and More",349.0,749.0,4.0,53.40453938584779,49.0,Other,58
"Sports, Books and More",589.0,1999.0,4.3,70.53526763381691,89.0,Other,123
"Sports, Books and More",387.0,1199.0,3.9,67.72310258548791,87.0,Other,306
"Sports, Books and More",299.0,599.0,3.7,50.08347245409015,99.0,Charm,90
"Sports, Books and More",399.0,1249.0,3.9,68.05444355484389,99.0,Charm,470
"Sports, Books and More",439.0,498.0,4.1,11.847389558232932,39.0,Other,421
"Sports, Books and More",290.0,599.0,3.8,51.58597662771286,90.0,Other,66
"Sports, Books and More",249.0,,4.0,,49.0,Other,406
"Sports, Books and More",359.0,449.0,4.0,20.044543429844097,59.0,Other,289
"Sports, Books and More",611.0,2499.0,4.8,75.55022008803522,11.0,Other,445
"Sports, Books and More",369.0,1699.0,3.6,78.28134196586227,69.0,Other,104
"Sports, Books and More",199.0,999.0,3.8,80.08008008008008,99.0,Charm,394
"Sports, Books and More",419.0,996.0,3.5,57.93172690763052,19.0,Other,413
"Sports, Books and More",489.0,576.0,4.1,15.104166666666666,89.0,Other,172
"Sports, Books and More",419.0,899.0,3.4,53.39265850945495,19.0,Other,112
"Sports, Books and More",449.0,1599.0,3.3,71.91994996873046,49.0,Other,83
"Sports, Books and More",260.0,,4.0,,60.0,Other,250
"Sports, Books and More",599.0,708.0,4.1,15.3954802259887,99.0,Charm,406
"Sports, Books and More",419.0,510.0,4.1,17.84313725490196,19.0,Other,227
"Sports, Books and More",478.0,480.0,4.0,0.4166666666666667,78.0,Other,229
"Sports, Books and More",299.0,499.0,4.3,40.08016032064128,99.0,Charm,104
"Sports, Books and More",339.0,354.0,4.1,4.23728813559322,39.0,Other,127
"Sports, Books and More",319.0,493.0,3.7,35.294117647058826,19.0,Other,63
"Sports, Books and More",389.0,999.0,3.8,61.06106106106106,89.0,Other,293
"Sports, Books and More",159.0,499.0,3.8,68.13627254509018,59.0,Other,459
"Sports, Books and More",548.0,1599.0,4.8,65.7285803627267,48.0,Other,432
"Sports, Books and More",349.0,699.0,4.0,50.07153075822603,49.0,Other,191
"Sports, Books and More",520.0,1899.0,3.4,72.61716692996313,20.0,Other,398
"Sports, Books and More",299.0,599.0,3.8,50.08347245409015,99.0,Charm,392
"Sports, Books and More",395.0,1299.0,4.0,69.59199384141648,95.0,Other,336
"Sports, Books and More",335.0,600.0,3.8,44.166666666666664,35.0,Other,208
"Sports, Books and More",1029.0,1265.0,4.3,18.656126482213438,29.0,Other,139
"Sports, Books and More",1699.0,2790.0,4.3,39.10394265232975,99.0,Charm,190
"Sports, Books and More",399.0,475.0,4.3,16.0,99.0,Charm,371
"Sports, Books and More",749.0,1980.0,4.1,62.17171717171717,49.0,Other,81
"Sports, Books and More",499.0,750.0,4.0,33.46666666666667,99.0,Charm,363
"Sports, Books and More",89.0,500.0,3.9,82.19999999999999,89.0,Other,342
"Sports, Books and More",949.0,1375.0,4.1,30.981818181818184,49.0,Other,333
"Sports, Books and More",749.0,1980.0,4.0,62.17171717171717,49.0,Other,68
"Sports, Books and More",299.0,899.0,3.9,66.74082313681868,99.0,Charm,143
"Sports, Books and More",499.0,750.0,4.0,33.46666666666667,99.0,Charm,127
"Sports, Books and More",899.0,1265.0,4.2,28.932806324110672,99.0,Charm,456
"Sports, Books and More",99.0,250.0,3.7,60.4,99.0,Charm,457
"Sports, Books and More",499.0,1290.0,3.9,61.31782945736434,99.0,Charm,144
"Sports, Books and More",135.0,300.0,3.7,55.00000000000001,35.0,Other,298
"Sports, Books and More",439.0,990.0,4.0,55.65656565656566,39.0,Other,445
"Sports, Books and More",215.0,400.0,3.9,46.25,15.0,Other,206
"Sports, Books and More",499.0,990.0,3.9,49.59595959595959,99.0,Charm,124
"Sports, Books and More",399.0,990.0,4.0,59.696969696969695,99.0,Charm,266
"Sports, Books and More",69.0,400.0,4.0,82.75,69.0,Other,443
"Sports, Books and More",509.0,750.0,4.0,32.13333333333333,9.0,Other,65
"Sports, Books and More",1899.0,4590.0,4.2,58.62745098039216,99.0,Charm,68
"Sports, Books and More",519.0,749.0,3.8,30.707610146862486,19.0,Other,168
"Sports, Books and More",849.0,1265.0,4.2,32.88537549407115,49.0,Other,121
"Sports, Books and More",319.0,666.0,4.0,52.1021021021021,19.0,Other,394
"Sports, Books and More",949.0,1375.0,4.1,30.981818181818184,49.0,Other,445
"Sports, Books and More",989.0,990.0,4.0,0.10101010101010101,89.0,Other,195
"Sports, Books and More",439.0,990.0,4.0,55.65656565656566,39.0,Other,480
"Sports, Books and More",569.0,880.0,4.0,35.340909090909086,69.0,Other,185
"Sports, Books and More",359.0,799.0,4.0,55.06883604505632,59.0,Other,253
"Sports, Books and More",324.0,400.0,4.2,19.0,24.0,Other,334
"Sports, Books and More",2019.0,2790.0,4.3,27.63440860215054,19.0,Other,339
"Sports, Books and More",205.0,400.0,3.9,48.75,5.0,Other,300
"Sports, Books and More",799.0,1899.0,4.0,57.92522380200106,99.0,Charm,402
"Sports, Books and More",439.0,990.0,4.0,55.65656565656566,39.0,Other,94
